angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,norm_scale,label
0.829,72.728,6318.631,4841.5,0.054,0.902,0.330650219,0.144302078,0.162742228,0.165178571,a
0.846,73.319,6098.011,4839.5,0.054,0.904,0.335727233,0.137239947,0.162642979,0.165178571,a
0.969,71.244,5739.121,4640,0.052,0.899,0.317901844,0.12575174,0.152742972,0.15625,a
0.95,70.507,6226.181,5109,0.057,0.902,0.31157061,0.141342718,0.176016674,0.178571429,a
0.945,72.405,6410.504,5163,0.057,0.898,0.327875471,0.147242968,0.178696375,0.178571429,a
0.936,73.946,6625.681,5250.5,0.058,0.893,0.341113507,0.154130867,0.183038483,0.183035714,a
0.922,74.867,6776.496,5392,0.06,0.9,0.349025402,0.158958513,0.190060293,0.191964286,a
0.92,75.575,7108.53,5516,0.061,0.903,0.355107511,0.169587049,0.196213681,0.196428571,a
0.911,76.418,6948.083,5647.5,0.063,0.89,0.362349343,0.164451079,0.20273925,0.205357143,a
0.91,78.022,7088.111,5753,0.064,0.895,0.376128583,0.168933429,0.207974592,0.209821429,a
0.905,78.47,7424.96,5826,0.065,0.903,0.379977149,0.179716095,0.211597152,0.214285714,a
0.897,80.477,7698.696,6044,0.067,0.897,0.39721838,0.188478489,0.222415205,0.223214286,a
0.889,82.133,7958.625,6226.5,0.069,0.895,0.411444329,0.196798917,0.231471603,0.232142857,a
0.902,83.042,8125.429,6335.5,0.07,0.897,0.419253138,0.202138377,0.236880629,0.236607143,a
0.901,83.743,8294.214,6371,0.071,0.899,0.425275112,0.20754125,0.238642285,0.241071429,a
0.907,87.047,8729.219,6854.5,0.076,0.902,0.453658285,0.221465927,0.262635536,0.263392857,a
0.907,89.24,9499.724,7446,0.083,0.897,0.472497358,0.246130089,0.291988189,0.294642857,a
0.903,92.479,10038.406,7644.5,0.085,0.906,0.500322146,0.263373507,0.301838573,0.303571429,a
