r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
36.881,169,0.91,44,109,,10,118.79,3.221,,1
38.573,168,0.905,44,112,,11,121.118,3.14,,1
38.899,168,0.902,45,111,,11,120.402,3.095,,1
38.743,168,0.904,45,111,,11,120.768,3.117,,1
38.449,168,0.903,45,110,,11,119.56,3.11,,1
39.082,169,0.902,45,111,,10,120.56,3.085,,1
25.313,0,0.897,33,68,,0,76.286,3.014,,1
22.282,2,0.918,35,66,,2,74.917,3.362,,1
26.884,179,0.901,33,75,,0,82.495,3.069,,1
26.888,177,0.903,33,76,,2,83.478,3.105,,1
26.743,177,0.901,33,75,,2,82.278,3.077,,1
26.488,0,0.899,35,72,,0,80.64,3.044,,1
25.189,3,0.903,35,69,,3,78.215,3.105,,1
23.821,3,0.91,35,67,,3,76.444,3.209,,1
25.785,2,0.906,34,73,,2,81.424,3.158,,1
27.051,179,0.903,34,76,,0,83.977,3.104,,1
27.147,178,0.902,33,76,,1,83.639,3.081,,1
26.949,178,0.901,34,75,,1,82.764,3.071,,1
25.598,1,0.905,34,72,,1,80.307,3.137,,1
24.505,1,0.911,34,71,,1,79.395,3.24,,1
25.759,1,0.909,35,74,,1,82.555,3.205,,1
26.887,178,0.902,33,76,,1,83.085,3.09,,1
27.172,178,0.9,33,76,,1,83.136,3.06,,1
27.071,1,0.9,34,75,,1,82.627,3.052,,1
24.52,1,0.908,34,69,,1,78.153,3.187,,1
24.579,2,0.908,35,69,,2,78.361,3.188,,1
26.315,2,0.904,34,74,,2,82.22,3.125,,1
26.719,178,0.903,33,76,,1,83.03,3.108,,1
26.262,0,0.91,33,77,,0,84.541,3.219,,1
25.677,2,0.906,34,72,,2,80.788,3.146,,1
25.331,5,0.906,35,71,,5,79.868,3.153,,1
25.195,0,0.908,34,72,,0,80.144,3.181,,1
26.673,178,0.905,33,76,,1,83.395,3.127,,1
26.876,179,0.902,34,75,,0,83.14,3.093,,1
26.125,3,0.9,35,71,,3,80.073,3.065,,1
24.249,3,0.91,35,69,,3,77.95,3.215,,1
25.412,3,0.906,35,72,,3,80.222,3.157,,1
26.112,1,0.908,33,76,,1,83.149,3.184,,1
26.426,179,0.909,34,77,,0,84.467,3.196,,1
25.551,2,0.906,34,72,,2,80.388,3.146,,1
25.033,2,0.904,35,69,,2,78.163,3.122,,1
29.354,1,0.902,38,82,,1,90.611,3.087,,1
30.108,2,0.899,39,82,,2,91.872,3.051,,1
30.362,2,0.895,39,81,,2,90.631,2.985,,1
30.082,2,0.898,39,82,,2,91.025,3.026,,1
29.86,2,0.899,38,82,,2,91.072,3.05,,1
29.876,2,0.899,39,82,,2,91.012,3.046,,1
29.822,2,0.9,38,82,,2,91.055,3.053,,1
32.319,179,0.888,40,84,,0,93.797,2.902,,1
30.84,177,0.903,40,86,,2,95.506,3.097,,1
32.559,175,0.898,41,89,,4,98.883,3.037,,1
33.515,173,0.9,42,93,,6,102.672,3.063,,1
33.664,173,0.902,42,94,,6,103.905,3.087,,1
33.979,173,0.9,43,94,,6,104.08,3.063,,1
34.81,173,0.898,45,95,,6,105.535,3.032,,1
34.539,173,0.901,44,96,,6,105.914,3.066,,1
35.035,173,0.9,45,97,,6,107.392,3.065,,1
36.167,172,0.893,45,96,,7,107.254,2.965,,1
35.4,173,0.902,47,98,,6,109.266,3.087,,1
36.16,172,0.897,46,98,,7,109.287,3.022,,1
37.067,155,0.9,49,101,,24,113.299,3.057,,1
36.8,155,0.901,48,102,,24,113.228,3.077,,1
36.314,158,0.907,43,106,,21,114.92,3.165,,1
37.077,5,0.896,48,100,,5,111.577,3.009,,1
37.537,4,0.895,47,101,,4,112.209,2.989,,1
39.371,1,0.893,48,106,,1,116.596,2.962,,1
36.992,177,0.906,46,106,,2,116.691,3.154,,1
37.674,174,0.909,45,111,,5,120.442,3.197,,1
38.464,171,0.906,45,112,,8,120.894,3.143,,1
38.31,170,0.909,46,113,,9,122.573,3.2,,1
38.056,167,0.911,45,114,,12,123.036,3.233,,1
38.395,167,0.911,45,115,,12,123.854,3.226,,1
38.204,167,0.911,46,114,,12,123.415,3.23,,1
38.292,167,0.91,47,113,,12,123.275,3.219,,1
38.235,168,0.912,47,115,,11,124.528,3.257,,1
37.529,169,0.915,45,115,,10,123.89,3.301,,1
37.596,170,0.915,46,115,,9,124.154,3.302,,1
37.325,173,0.917,45,116,,6,124.898,3.346,,1
37.561,175,0.914,45,114,,4,123.188,3.28,,1
38.009,177,0.909,46,112,,2,121.869,3.206,,1
38.395,0,0.904,48,109,,0,119.557,3.114,,1
37.355,3,0.901,47,104,,3,114.754,3.072,,1
36.746,5,0.899,47,100,,5,111.655,3.039,,1
37.13,7,0.894,49,98,,7,110.396,2.973,,1
35.833,7,0.901,48,98,,7,110.073,3.072,,1
36.136,8,0.897,49,97,,8,109.03,3.017,,1
36.46,8,0.896,49,97,,8,109.319,2.998,,1
36.002,6,0.901,48,99,,6,110.817,3.078,,1
36.498,5,0.906,49,103,,5,114.807,3.146,,1
36.19,2,0.912,48,106,,2,117.372,3.243,,1
37.34,1,0.911,49,110,,1,120.849,3.236,,1
36.906,176,0.911,47,109,,3,119.114,3.228,,1
37.174,176,0.912,47,110,,3,120.591,3.244,,1
37.094,175,0.913,47,111,,4,120.983,3.262,,1
36.086,175,0.917,46,110,,4,120.334,3.335,,1
37.072,176,0.916,47,113,,3,122.895,3.315,,1
38.243,178,0.914,48,115,,1,125.781,3.289,,1
37.348,179,0.917,48,115,,0,124.881,3.344,,1
36.629,1,0.917,48,112,,1,122.596,3.347,,1
36.974,2,0.916,49,112,,2,122.781,3.321,,1
36.827,3,0.913,50,108,,3,120.12,3.262,,1
36.702,4,0.912,51,107,,4,119.063,3.244,,1
38.43,5,0.902,52,106,,5,118.871,3.093,,1
30.426,10,0.889,40,78,,10,88.489,2.908,,1
32.635,173,0.901,39,92,,6,100.498,3.079,,1
33.938,173,0.891,39,91,,6,99.503,2.932,,1
33.319,175,0.897,39,92,,4,100.406,3.013,,1
32.505,176,0.904,39,93,,3,101.365,3.118,,1
32.919,178,0.904,40,94,,1,102.486,3.113,,1
32.372,1,0.907,40,94,,1,102.548,3.168,,1
32.325,4,0.906,41,93,,4,102.009,3.156,,1
31.435,6,0.906,41,89,,6,99.128,3.153,,1
31.095,7,0.904,41,87,,7,96.984,3.119,,1
30.902,9,0.902,42,85,,9,95.562,3.092,,1
30.629,9,0.901,41,84,,9,94.091,3.072,,1
30.525,8,0.906,41,86,,8,96.057,3.147,,1
30.365,8,0.908,41,87,,8,96.639,3.183,,1
30.397,6,0.913,41,90,,6,99.33,3.268,,1
31.178,3,0.91,41,91,,3,100.279,3.216,,1
33.106,1,0.899,41,91,,1,100.603,3.039,,1
32.675,177,0.899,40,91,,2,99.611,3.049,,1
32.481,175,0.898,40,89,,4,98.331,3.027,,1
33.523,175,0.89,41,89,,4,98.145,2.928,,1
33.203,177,0.899,40,92,,2,101.017,3.042,,1
33.421,0,0.904,41,95,,0,104.416,3.124,,1
31.904,2,0.913,40,95,,2,104.27,3.268,,1
31.038,6,0.914,42,92,,6,102.139,3.291,,1
30.766,9,0.904,42,86,,9,96.136,3.125,,1
30.308,10,0.905,43,84,,10,95.07,3.137,,1
28.751,9,0.897,37,77,,9,86.531,3.01,,1
29.565,179,0.896,37,80,,0,88.924,3.008,,1
29.911,176,0.887,37,78,,3,86.536,2.893,,1
30.795,178,0.886,38,79,,1,88.37,2.87,,1
30.626,177,0.884,38,78,,2,87.511,2.857,,1
30.548,178,0.885,37,78,,1,87.491,2.864,,1
30.198,178,0.889,37,79,,1,88.06,2.916,,1
29.916,179,0.89,37,78,,0,87.353,2.92,,1
29.844,0,0.901,38,83,,0,91.564,3.068,,1
29.258,1,0.908,37,85,,1,93.33,3.19,,1
29.596,3,0.905,38,84,,3,92.94,3.14,,1
29.666,6,0.906,38,84,,6,93.248,3.143,,1
29.05,8,0.899,37,79,,8,88.433,3.044,,1
29.174,9,0.892,37,77,,9,85.954,2.946,,1
29.474,10,0.885,38,75,,10,84.456,2.865,,1
28.577,8,0.899,37,78,,8,86.952,3.043,,1
28.549,8,0.905,38,81,,8,89.519,3.136,,1
28.615,5,0.907,38,81,,5,90.501,3.163,,1
29.269,4,0.906,38,83,,4,92.031,3.144,,1
29.143,2,0.9,37,80,,2,89.251,3.063,,1
29.247,0,0.893,37,77,,0,86.535,2.959,,1
27.526,1,0.888,34,72,,1,79.725,2.896,,1
27.237,4,0.853,32,61,,4,69.674,2.558,,1
26.278,3,0.874,31,64,,3,72.027,2.741,,1
25.508,2,0.901,33,71,,2,78.514,3.078,,1
25.634,179,0.905,33,73,,0,80.313,3.133,,1
26.423,177,0.902,33,74,,2,81.695,3.092,,1
26.584,176,0.898,33,73,,3,80.745,3.037,,1
27.611,174,0.89,34,73,,5,80.706,2.923,,1
27.39,175,0.89,33,72,,4,80.117,2.925,,1
27.102,176,0.901,34,75,,3,83.101,3.066,,1
26.298,178,0.912,34,78,,1,85.366,3.246,,1
25.716,179,0.914,34,77,,0,84.718,3.294,,1
25.57,2,0.917,34,78,,2,85.301,3.336,,1
26.334,5,0.902,34,73,,5,81.286,3.087,,1
26.165,6,0.895,33,70,,6,78.038,2.983,,1
25.849,6,0.897,34,70,,6,78.067,3.02,,1
26.182,6,0.892,34,69,,6,77.207,2.949,,1
25.691,6,0.9,33,70,,6,78.58,3.059,,1
