r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
298.592,21,0.924,45,78,0.774630141,21,90.822,0.304,0.462642501,1
295.891,21,0.917,46,78,0.745291217,21,91.233,0.308,0.467595382,1
303.672,22,0.922,48,82,0.829810345,22,95.53,0.315,0.519377696,1
302.809,21,0.918,49,84,0.820436228,21,97.782,0.323,0.546516112,1
305.995,22,0.913,51,88,0.85504334,22,101.998,0.333,0.597322311,1
312.296,19,0.921,50,95,0.923486346,19,108.002,0.346,0.669675351,1
302.509,19,0.915,52,96,0.817177554,19,109.66,0.362,0.689655588,1
309.012,18,0.92,54,104,0.887814734,18,117.811,0.381,0.787881709,1
304.426,19,0.917,55,107,0.838000478,19,120.502,0.396,0.820310429,1
300.774,18,0.914,57,108,0.798331559,18,122.816,0.408,0.848195994,1
298.085,18,0.909,58,111,0.769122982,18,126.065,0.423,0.887349064,1
295.975,17,0.911,57,114,0.746203645,17,128.256,0.433,0.91375238,1
290.555,18,0.907,58,113,0.687330277,18,127.723,0.44,0.9073293,1
290.282,15,0.898,54,115,0.684364885,15,128.208,0.442,0.913173941,1
294.61,14,0.905,56,118,0.731376681,14,130.733,0.444,0.943602227,1
290.147,17,0.912,56,115,0.682898481,17,128.753,0.444,0.919741631,1
291.158,19,0.918,57,113,0.693880211,19,127.382,0.438,0.903219975,1
289.737,19,0.92,59,110,0.678444961,19,125.553,0.433,0.881179051,1
289.469,19,0.921,58,110,0.675533879,19,124.834,0.431,0.872514521,1
291.491,20,0.919,58,111,0.697497339,20,126.313,0.433,0.890337664,1
291.709,18,0.919,56,113,0.699865308,18,126.407,0.433,0.891470439,1
291.608,15,0.92,52,114,0.698768221,15,126.364,0.433,0.890952255,1
294.474,14,0.92,52,116,0.729899416,14,127.605,0.433,0.905907305,1
293.668,13,0.922,50,115,0.721144446,13,126.032,0.429,0.886951387,1
289.734,11,0.924,43,105,0.678412374,11,114.083,0.394,0.742956304,1
294.468,12,0.925,41,96,0.729834242,12,104.904,0.356,0.632341954,1
297.136,14,0.924,40,92,0.758814712,14,101.522,0.342,0.591586127,1
297.185,14,0.923,39,88,0.759346962,14,96.585,0.325,0.532091297,1
294.428,14,0.922,38,86,0.729399752,14,94.462,0.321,0.506507435,1
293.708,14,0.914,38,84,0.721578936,14,92.396,0.315,0.48161047,1
291.197,12,0.905,39,81,0.694303839,12,90.392,0.31,0.457460654,1
288.355,11,0.906,37,81,0.663433338,11,89.51,0.31,0.446831843,1
282.037,10,0.899,37,78,0.594805674,10,86.961,0.308,0.416114338,1
282.886,7,0.904,35,78,0.60402772,7,86.634,0.306,0.412173724,1
280.947,4,0.907,34,79,0.582965827,4,86.625,0.308,0.412065267,1
281.071,2,0.908,34,79,0.584312746,2,87.249,0.31,0.41958497,1
280.97,1,0.912,33,81,0.583215659,1,87.803,0.312,0.426261117,1
278.733,1,0.91,33,80,0.558916817,1,87.685,0.315,0.424839122,1
280.8,1,0.912,34,81,0.581369077,1,88.92,0.317,0.439721867,1
281.205,2,0.907,35,82,0.585768287,2,89.634,0.319,0.448326143,1
280.894,3,0.902,35,82,0.582390128,3,90.12,0.321,0.454182835,1
280.313,5,0.905,36,83,0.576079164,5,91.102,0.325,0.466016727,1
286.701,7,0.908,38,86,0.645467185,7,94.373,0.329,0.505434914,1
285.554,7,0.91,37,86,0.63300819,7,94.59,0.331,0.508049939,1
287.446,9,0.909,39,88,0.653559558,9,97.013,0.338,0.537249042,1
285.715,10,0.907,40,88,0.634757012,10,97.024,0.34,0.537381601,1
290.83,12,0.912,41,91,0.690317395,12,99.973,0.344,0.572919428,1
290.312,13,0.91,42,91,0.684690752,13,101.004,0.348,0.58534381,1
294.244,15,0.913,43,94,0.727401099,15,103.598,0.352,0.616603601,1
298.95,17,0.912,46,94,0.778518824,17,105.255,0.352,0.636571787,1
298.988,17,0.914,47,93,0.77893159,17,105.269,0.352,0.636740498,1
302.023,16,0.923,47,95,0.811898503,16,106.337,0.352,0.649610759,1
284.236,7,0.916,41,97,0.618691751,7,105.996,0.373,0.645501434,1
304.549,16,0.926,46,96,0.839336534,16,107.227,0.352,0.660335976,1
306.363,17,0.925,47,94,0.859040647,17,105.95,0.346,0.644947097,1
310.381,17,0.926,46,94,0.902685147,17,105.4,0.34,0.638319154,1
309.318,18,0.924,46,92,0.891138581,18,103.75,0.335,0.618435323,1
292.872,14,0.912,38,84,0.712498099,14,92.743,0.317,0.485792099,1
278.217,179,0.917,36,91,0.553311899,0,97.955,0.352,0.548600901,1
289.52,11,0.904,41,89,0.676087854,11,98.919,0.342,0.560217879,1
286.137,5,0.919,36,86,0.639340879,5,93.591,0.327,0.496011183,1
284.716,10,0.91,42,95,0.623905629,10,104.396,0.367,0.626220144,1
297.888,17,0.909,40,85,0.76698312,17,94.952,0.319,0.51241233,1
297.58,15,0.911,40,87,0.763637549,15,96.713,0.325,0.5336338,1
296.844,14,0.918,38,85,0.755642936,14,94.001,0.317,0.500952014,1
283.3,4,0.918,37,89,0.60852469,4,97.384,0.344,0.541719891,1
292.839,9,0.921,38,87,0.712139645,9,95.783,0.327,0.52242655,1
287.893,8,0.921,36,82,0.658414981,8,90.566,0.315,0.459557494,1
280.813,179,0.917,35,87,0.581510287,0,94.774,0.338,0.510267287,1
288.085,12,0.905,28,62,0.660500532,12,68.42,0.237,0.19268034,1
292.757,12,0.909,29,65,0.711248941,12,71.97,0.246,0.235460702,1
257.288,5,0.951,37,93,0.325975973,5,100.771,0.392,0.582535972,2
250.537,9,0.95,34,74,0.252644957,9,82.468,0.329,0.361970066,2
253.941,10,0.948,33,73,0.289620039,10,80.415,0.317,0.337229761,2
253.685,10,0.951,34,71,0.286839304,10,78.748,0.31,0.317141067,2
259.45,11,0.951,34,72,0.349460146,11,79.997,0.308,0.332192524,2
259.141,11,0.948,33,72,0.346103713,11,79.902,0.308,0.331047697,2
259.194,11,0.95,34,72,0.346679412,11,80.458,0.31,0.337747945,2
263.907,11,0.944,34,74,0.397873172,11,81.921,0.31,0.355378275,2
264.137,11,0.943,35,75,0.400371489,11,83.643,0.317,0.376129763,2
260.043,11,0.945,35,75,0.355901458,11,83.43,0.321,0.373562941,2
258.61,10,0.948,37,76,0.340335861,10,85.126,0.329,0.394001109,2
257.931,10,0.946,38,78,0.332960396,10,87.052,0.338,0.417210961,2
258.289,9,0.944,37,82,0.33684908,9,90.401,0.35,0.457569111,2
251.238,8,0.939,38,82,0.26025939,8,90.55,0.36,0.459364681,2
252.247,7,0.946,39,86,0.271219396,7,95.118,0.377,0.514412764,2
249.124,6,0.942,39,88,0.237296604,6,97.055,0.39,0.537755176,2
243.954,5,0.941,40,89,0.181138798,5,98.09,0.402,0.55022776,2
243.083,4,0.936,41,91,0.171677782,4,100.272,0.412,0.576522619,2
239.097,4,0.942,41,91,0.128380874,4,100.62,0.421,0.5807163,2
241.345,3,0.954,41,94,0.152799201,3,103.074,0.427,0.610288978,2
244.113,3,0.951,42,95,0.182865895,3,104.765,0.429,0.630666892,2
238.53,2,0.946,41,91,0.122221981,2,100.878,0.423,0.583825408,2
240.986,3,0.947,41,91,0.148899655,3,99.909,0.415,0.572148177,2
238.262,4,0.95,40,87,0.119310899,4,96.794,0.406,0.534609915,2
246.963,4,0.948,39,90,0.213823293,4,98.271,0.398,0.552408956,2
239.544,5,0.951,38,84,0.133236297,5,92.823,0.388,0.486756164,2
248.258,5,0.958,37,85,0.2278899,5,93.097,0.375,0.490058085,2
249.761,6,0.949,37,83,0.244215855,6,91.579,0.367,0.471764961,2
244.965,7,0.951,37,80,0.192120527,7,88.29,0.36,0.432129859,2
247.394,7,0.95,35,78,0.218504921,7,86.588,0.35,0.411619387,2
250.485,7,0.948,35,78,0.25208012,7,86.104,0.344,0.405786797,2
248.118,8,0.948,34,76,0.226369186,8,84.257,0.34,0.383528958,2
250.871,9,0.952,34,77,0.256272946,9,84.669,0.338,0.38849389,2
250.343,8,0.942,34,76,0.250537681,8,83.969,0.335,0.380058326,2
252.271,9,0.95,35,76,0.27148009,9,84.09,0.333,0.381516473,2
254.737,9,0.951,35,78,0.298266386,9,85.974,0.338,0.404220192,2
253.215,9,0.954,36,78,0.281734049,9,86.515,0.342,0.410739678,2
