angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.150,170.629,29891.762,23926.000,0.266,0.795,,,,0
0.157,173.029,30234.700,24448.000,0.272,0.800,,,,0
0.164,172.790,30291.995,24271.000,0.270,0.811,,,,0
0.192,172.826,30372.129,24313.000,0.270,0.826,,,,0
0.196,175.708,30034.434,24235.500,0.269,0.833,,,,0
0.193,173.627,30075.873,24177.500,0.269,0.838,,,,0
0.207,175.413,29597.256,23881.000,0.265,0.848,,,,0
0.205,175.053,27952.536,23627.000,0.263,0.843,,,,0
0.246,172.786,28316.068,23446.500,0.261,0.840,,,,0
0.233,175.109,27247.296,23418.500,0.260,0.832,,,,0
0.226,173.422,27374.088,23286.500,0.259,0.845,,,,0
0.217,174.166,27610.090,23287.000,0.259,0.839,,,,0
0.229,172.722,27936.401,22860.000,0.254,0.856,,,,0
0.217,171.890,27514.083,22696.000,0.252,0.847,,,,0
0.218,169.657,27057.010,21987.000,0.244,0.854,,,,0
0.231,167.743,26393.946,21250.000,0.236,0.869,,,,0
0.262,164.982,26265.777,20412.000,0.227,0.875,,,,0
0.262,164.507,26149.551,20193.500,0.224,0.879,,,,0
0.270,162.495,26567.732,20181.000,0.224,0.879,,,,0
0.261,162.972,25351.576,20395.000,0.227,0.870,,,,0
0.249,162.625,25167.753,20215.000,0.225,0.861,,,,0
0.250,163.952,24933.650,20235.500,0.225,0.855,,,,0
0.252,163.248,25108.854,20312.500,0.226,0.850,,,,0
0.239,164.179,25280.948,20767.500,0.231,0.846,,,,0
0.241,163.061,25617.295,20686.500,0.230,0.854,,,,0
0.219,164.732,25468.387,20615.500,0.229,0.844,,,,0
0.150,114.040,10663.444,8668.000,0.096,0.866,,,,1
0.126,111.388,10718.648,8482.500,0.094,0.884,,,,1
0.126,112.646,10721.519,8507.000,0.095,0.870,,,,1
0.159,111.174,10747.522,8511.500,0.095,0.869,,,,1
0.144,111.642,10814.691,8459.000,0.094,0.877,,,,1
0.154,114.511,10490.181,8459.500,0.094,0.877,,,,1
0.152,112.283,10613.498,8371.000,0.093,0.877,,,,1
0.155,111.317,10627.961,8365.000,0.093,0.872,,,,1
0.136,113.133,10495.335,8409.000,0.093,0.880,,,,1
0.132,112.523,10906.756,8465.000,0.094,0.876,,,,1
0.148,113.885,10758.045,8472.000,0.094,0.882,,,,1
0.142,113.863,10578.464,8506.000,0.095,0.874,,,,1
0.152,114.833,10829.724,8508.000,0.095,0.877,,,,1
0.138,113.994,10738.706,8606.000,0.096,0.871,,,,1
0.149,115.266,11155.633,8702.000,0.097,0.874,,,,1
0.130,115.834,10865.972,8741.000,0.097,0.872,,,,1
0.138,117.643,11149.218,8777.500,0.098,0.887,,,,1
0.137,117.801,11411.190,8891.500,0.099,0.882,,,,1
0.124,118.656,11784.406,9109.000,0.101,0.878,,,,1
0.134,119.154,11575.551,9219.000,0.102,0.882,,,,1
0.128,119.394,11833.397,9271.000,0.103,0.882,,,,1
0.117,119.100,11985.950,9397.000,0.104,0.883,,,,1
0.156,123.569,12146.343,9571.500,0.106,0.886,,,,1
0.135,121.807,12476.339,9698.500,0.108,0.878,,,,1
0.111,121.696,12697.498,9795.000,0.109,0.882,,,,1
0.106,122.533,12574.960,9845.000,0.109,0.878,,,,1
0.124,124.236,12788.641,9949.000,0.111,0.883,,,,1
0.130,124.539,12923.822,10090.500,0.112,0.879,,,,1
0.109,126.417,13102.572,10203.000,0.113,0.879,,,,1
0.123,127.833,13316.714,10371.500,0.115,0.874,,,,1
0.105,130.027,13548.319,10637.500,0.118,0.881,,,,1
0.113,131.812,13933.970,10948.000,0.122,0.877,,,,1
0.115,132.517,14319.106,11247.000,0.125,0.884,,,,1
0.119,138.024,15224.290,11944.500,0.133,0.883,,,,1
0.103,142.462,16742.040,13034.500,0.145,0.892,,,,1
0.091,150.195,17352.287,13848.000,0.154,0.881,,,,1
0.091,158.613,20793.294,16023.500,0.178,0.889,,,,1
0.105,106.514,9339.473,7688.500,0.085,0.877,,,,1
0.103,107.015,9516.600,7687.000,0.085,0.887,,,,1
0.117,107.487,9379.413,7774.000,0.086,0.888,,,,1
0.091,106.366,9493.527,7790.500,0.087,0.884,,,,1
0.102,107.370,9585.784,7830.500,0.087,0.886,,,,1
0.114,108.574,9408.202,7834.500,0.087,0.887,,,,1
0.112,108.452,9571.701,7874.000,0.087,0.874,,,,1
0.095,108.947,9487.480,7914.000,0.088,0.887,,,,1
0.096,108.295,9867.495,7935.500,0.088,0.887,,,,1
0.111,109.452,9727.395,7964.500,0.088,0.891,,,,1
0.104,108.797,9807.376,8014.000,0.089,0.888,,,,1
0.101,108.801,9914.959,8068.500,0.090,0.887,,,,1
0.098,109.210,9836.666,8159.500,0.091,0.882,,,,1
0.088,108.470,10170.779,8243.000,0.092,0.884,,,,1
0.105,111.402,10491.417,8445.500,0.094,0.881,,,,1
0.094,112.263,10611.682,8724.500,0.097,0.888,,,,1
0.096,114.756,10966.420,8940.500,0.099,0.885,,,,1
0.108,118.782,11012.405,9180.500,0.102,0.882,,,,1
0.104,117.954,11586.696,9460.000,0.105,0.884,,,,1
0.119,119.622,11907.193,9611.000,0.107,0.883,,,,1
0.114,122.563,11921.929,9864.500,0.110,0.888,,,,1
0.109,125.199,12318.596,10135.000,0.113,0.885,,,,1
0.101,124.906,12665.808,10325.500,0.115,0.889,,,,1
0.107,127.358,12966.493,10621.000,0.118,0.896,,,,1
0.084,126.952,13861.821,10978.500,0.122,0.889,,,,1
0.100,130.769,13902.033,11249.500,0.125,0.889,,,,1
0.094,130.270,14165.925,11352.000,0.126,0.888,,,,1
0.076,131.206,14122.575,11582.500,0.129,0.887,,,,1
0.098,133.766,14356.133,11795.000,0.131,0.890,,,,1
0.085,134.564,14969.812,12089.500,0.134,0.885,,,,1
0.094,136.447,15469.426,12227.000,0.136,0.884,,,,1
0.085,138.848,15344.517,12493.000,0.139,0.887,,,,1
0.093,139.061,16011.793,12731.000,0.141,0.888,,,,1
0.088,140.510,15894.250,12841.000,0.143,0.886,,,,1
0.087,141.055,15932.791,12991.500,0.144,0.889,,,,1
0.088,139.267,16136.546,12987.500,0.144,0.889,,,,1
0.104,141.944,16284.562,13152.000,0.146,0.886,,,,1
0.070,142.137,16536.118,13326.000,0.148,0.895,,,,1
0.096,144.462,16634.772,13557.000,0.151,0.892,,,,1
0.078,146.335,17170.335,13855.500,0.154,0.886,,,,1
0.093,145.778,17575.866,13977.000,0.155,0.882,,,,1
0.106,151.299,17772.891,14390.500,0.160,0.895,,,,1
0.088,152.517,18376.518,14791.000,0.164,0.884,,,,1
0.094,151.460,19583.181,15197.000,0.169,0.885,,,,1
0.080,156.040,18791.345,15553.500,0.173,0.889,,,,1
0.080,158.306,20053.393,15881.000,0.176,0.892,,,,1
0.078,157.825,20372.446,16358.500,0.182,0.889,,,,1
0.106,162.354,20562.894,16808.500,0.187,0.886,,,,1
0.094,165.155,21175.040,17106.500,0.190,0.886,,,,1
0.071,163.432,21955.286,17388.000,0.193,0.888,,,,1
0.085,167.737,22485.018,17787.500,0.198,0.892,,,,1
0.071,168.741,22394.801,18168.500,0.202,0.886,,,,1
0.080,168.995,23052.825,18365.500,0.204,0.886,,,,1
0.058,171.412,23632.246,18872.000,0.210,0.883,,,,1
0.079,173.320,24745.976,19480.000,0.216,0.887,,,,1
0.083,177.532,25014.205,19960.500,0.222,0.890,,,,1
0.069,178.762,25494.580,20374.000,0.226,0.892,,,,1
0.072,180.781,26210.585,20772.000,0.231,0.889,,,,1
0.044,184.008,27230.437,21373.000,0.237,0.892,,,,1
0.076,186.884,27264.117,21802.500,0.242,0.892,,,,1
0.050,186.084,28255.174,22167.500,0.246,0.887,,,,1
0.068,190.636,28212.314,22611.000,0.251,0.892,,,,1
0.044,194.963,28702.141,22954.500,0.255,0.902,,,,1
0.077,194.892,29691.616,23341.500,0.259,0.891,,,,1
