angle_90,r,area_ellipse,area_contour,proportion,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.133,73.852,5569.835,4697,0.524,0.875,0.215289097,0.077428744,0.084556951,0
0.14,74.529,5831.42,4778.5,0.532,0.886,0.218478251,0.081770025,0.086323295,0
0.128,74.794,5875.762,4898,0.538,0.882,0.21972659,0.082505928,0.088913211,0
0.124,76.966,5757.3,4970,0.537,0.884,0.229958263,0.080539925,0.090473662,0
0.123,76.335,6180.669,5149.5,0.553,0.891,0.226985802,0.087566185,0.094363954,0
0.113,78.255,6094.989,5244,0.547,0.887,0.236030375,0.086144234,0.096412046,0
0.116,77.722,6196.129,5295.5,0.548,0.892,0.233519564,0.08782276,0.097528202,0
0.111,80.131,6309.372,5414,0.549,0.89,0.244867676,0.089702148,0.100096445,0
0.105,82.098,6504.693,5473,0.528,0.882,0.254133652,0.092943708,0.101375148,0
0.107,82.102,6497.54,5532,0.526,0.888,0.254152495,0.092824997,0.102653851,0
0.105,82.202,6827.017,5663,0.528,0.892,0.254623567,0.098293018,0.105493005,0
0.117,83.402,6503.274,5761.5,0.537,0.89,0.260276425,0.092920158,0.107627789,0
0.1,84.898,6624.589,5808,0.53,0.885,0.267323654,0.09493351,0.10863558,0
0.087,84.349,6638.147,5855,0.531,0.874,0.264737472,0.095158519,0.109654208,0
0.1,90.196,7621.346,6732.5,0.533,0.885,0.292281022,0.111475754,0.128672208,0
0.112,94.634,8190.345,7290,0.542,0.887,0.313187176,0.120918899,0.140754868,0
0.106,94.849,8341.242,7418.5,0.549,0.892,0.314199979,0.123423195,0.14353984,0
0.118,95.175,8544.715,7522.5,0.546,0.897,0.315735672,0.126800047,0.145793825,0
0.11,95.192,8631.311,7610.5,0.549,0.9,0.315815755,0.128237199,0.147701044,0
0.111,97.112,8649.632,7694,0.552,0.892,0.324860327,0.128541256,0.149510734,0
0.125,98.722,8913.1,7814.5,0.548,0.893,0.332444578,0.132913788,0.152122322,0
0.116,98.742,8778.212,7886,0.55,0.896,0.332538793,0.130675178,0.153671937,0
0.112,97.01,8683.449,7980,0.553,0.896,0.324379834,0.129102485,0.155709193,0
0.127,99.091,9199.336,8092.5,0.551,0.895,0.334182832,0.137664179,0.158147398,0
0.118,98.661,9217.713,8275,0.554,0.904,0.332157225,0.137969165,0.162102708,0
0.123,100.748,9553.926,8456.5,0.553,0.903,0.341988487,0.143548978,0.166036346,0
0.114,101.603,9617.028,8630.5,0.555,0.899,0.346016148,0.144596223,0.169807436,0
0.138,104.219,9842.043,8748,0.553,0.899,0.358339379,0.148330587,0.172354006,0
0.132,103.831,10120.164,8899.5,0.554,0.908,0.356511621,0.152946301,0.175637455,0
0.122,104.655,10152.527,8929,0.553,0.907,0.36039325,0.1534834,0.176276807,0
0.12,105.152,10098.092,9049.5,0.554,0.906,0.362734476,0.152579993,0.178888395,0
0,63.061,4663.678,3779.5,0.57,0.796,0.164455771,0.062390103,0.064672034,0
0.011,64.71,4955.142,3963.5,0.565,0.82,0.17222374,0.067227259,0.068659854,0
0.009,65.508,4864.994,4000,0.559,0.823,0.175982891,0.065731156,0.069450916,0
0.037,66.92,5108.706,4144.5,0.561,0.829,0.18263442,0.069775817,0.072582655,0
