angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.453,103.721,15193.077,12119,0.194,0.872,0.676685,0.639329447,0.733981551,a
0.455,103.594,15063.975,12220.5,0.196,0.876,0.674618414,0.630814903,0.744103715,a
0.456,103.001,15328.828,12163,0.195,0.866,0.66496892,0.648282506,0.738369484,a
0.454,101.065,14870.501,11863.5,0.19,0.868,0.633465682,0.618054893,0.708501621,a
0.453,101.869,14781.374,11791.5,0.189,0.865,0.646548638,0.612176783,0.701321366,a
0.45,101.009,14764.694,11600.5,0.186,0.85,0.632554431,0.611076702,0.682273747,a
0.459,101.563,14702.787,11719.5,0.188,0.872,0.641569304,0.606993808,0.694141112,a
0.454,101.664,14750.156,11769,0.188,0.859,0.64321281,0.610117891,0.699077537,a
0.452,103.304,15156.824,11799,0.189,0.852,0.669899437,0.636938487,0.702069309,a
0.453,103.833,15254.667,12167.5,0.195,0.86,0.678507502,0.643391435,0.73881825,a
0.452,108.451,16003.02,12544,0.201,0.864,0.753653139,0.692746862,0.776364996,a
0.452,108.337,16217.37,12760.5,0.204,0.858,0.751798093,0.706883688,0.797955622,a
0.453,108.074,16116.768,12736.5,0.204,0.87,0.747518469,0.700248778,0.795562204,a
0.457,109.027,16450.344,13157,0.211,0.866,0.763026003,0.722248805,0.837496884,a
0.45,110.665,16921.533,13105,0.21,0.858,0.789680086,0.753324693,0.832311144,a
0.445,117.649,19520.441,14054.5,0.225,0.856,0.903326065,0.924728048,0.927000748,a
0.45,118.542,19612.176,13945,0.223,0.864,0.917857259,0.930778161,0.916080778,a
0.451,122.938,19647.26,14536,0.233,0.874,0.989390438,0.933092024,0.975018699,a
0.45,122.599,20051.848,14506,0.232,0.878,0.983874117,0.959775438,0.972026926,a
0.45,120.397,20464.312,14219,0.228,0.841,0.948042438,0.986978292,0.943405635,a
0.451,122.439,19467.436,14534.5,0.233,0.877,0.981270544,0.921232259,0.97486911,a
0.452,121.108,19121.86,14210.5,0.227,0.888,0.959612068,0.898440807,0.942557966,a
0.452,123.59,19674.561,14317,0.229,0.882,1,0.934892581,0.953178758,a
0.45,117.853,19647.401,13852.5,0.222,0.85,0.906645621,0.933101323,0.906856146,a
0.452,120.93,19167.53,14786.5,0.237,0.875,0.956715592,0.901452838,1,a
0.455,120.273,18840.525,14063.5,0.225,0.874,0.946024669,0.879886183,0.92789828,a
0.449,119.131,18372.284,13666,0.219,0.88,0.927441664,0.849004721,0.888257292,a
0.45,118.221,18542.71,13621.5,0.218,0.877,0.91263384,0.860244668,0.883819496,a
0.447,118.018,18034.197,13587.5,0.217,0.886,0.909330556,0.826707184,0.880428821,a
0.449,118.823,18758.255,13702.5,0.219,0.863,0.922429785,0.874460306,0.891897282,a
0.45,118.41,18237.774,13267,0.212,0.876,0.915709311,0.840133508,0.848466717,a
0.448,116.752,17806.162,13270,0.212,0.874,0.888729782,0.811667804,0.848765894,a
0.455,116.221,17760.405,13970.5,0.224,0.894,0.880089172,0.808650036,0.918623785,a
0.448,115.987,17703.978,13662,0.219,0.871,0.876281446,0.804928558,0.887858389,a
